Subject,Label,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,Pupil,Pupil,Pupil,Pupil,Pupil,Pupil,Pupil,HR,RT
Experiment 814 Participant 1,1,0.2833945063,0.3443720379,-0.0409520985,0.2912032201,1.5657209301,-0.3915053575,1.1627371878,-0.2490838558,-0.8393844665,1.1234325672,1.2164365432,0.1215276459,-0.107251695,0.7737634878,0.0922161074,0.552719344,0.2073309775,0.4930631908,-0.1796380452,-0.0460456027,-0.2308986115,0.8293717759,0.30424176,-0.1316325156,0.661078142,0.8077194131,0.3220961077,-0.5735810657,-1.8829366274,0.8448918731,1.0615780751,1.2477887877,0.4533974153,1.191748754,0.9306900218,0.6995021454,0.5845018546,0.5117858139,0.3235138254,0.7435399531,1.9581268635,2.0447705763,0.9194407466,0.2758918336,0.265189247,-0.0782392917,0.1716536535,0.3689209387,-0.4006621233,-0.1370586491,0.5612268238,1.6359958254,0.8264879607,1.1503862993,0.4413003588,1.3641256161,0.2616019655,1.191748754,-0.39467596,0.6402888501,0.9002521134,0.8457964812,0.0032079119,-1.9378599721,-0.2936648447,-0.9360437966,0.9802444146
Experiment 814 Participant 1,1,-1.0995349783,0.2790355973,0.4449336776,1.5168209723,-0.7192366948,1.0926556846,-0.8781340714,0.7445348913,0.4584507121,-0.4900614989,0.1051667707,-0.3855432643,0.2707349864,-1.2291556744,0.3772517,1.1810391198,2.0036815929,0.4010409108,-0.0254594931,1.5374847543,0.132859006,0.3593774344,-0.5389442578,-0.1290216907,-0.6219703924,-0.0554719158,-0.3862139006,-2.9292987149,-2.0479816936,-0.6460516673,-0.4201521474,0.0762586593,1.3040100295,-0.4905807334,-0.7467813402,-0.6211698853,-0.7730963825,-0.3738548813,0.5191672507,-0.9325081382,-0.7606937828,-0.205475981,-0.973650219,-0.077136304,-0.4369801972,-0.9300721184,-0.587593954,0.5476902241,0.498884221,0.2848925803,0.6962072068,0.8618120333,0.4423720465,-0.5445551363,-0.1912440286,-0.5999545987,-0.3703279356,-0.4905807334,-0.226522423,0.2039828767,-0.9750822819,-1.220388679,-0.2852735982,-1.2523201595,-0.9486240694,-1.7399842607,1.0451779096
Experiment 814 Participant 1,1,-1.2545677582,-1.7852150195,1.8672182358,0.8969764834,-1.5741381765,0.1845641775,1.2328672965,0.5274960955,0.0631209506,1.8114379841,0.1743917315,-0.4645144748,-0.6392490747,-1.6445741538,-1.7602804631,-1.853653722,-2.9142486025,-0.6820681374,-2.3741202631,0.697946202,2.0102706612,0.1404217618,-1.8261844693,-0.8227437349,-1.9610818879,-1.1328939829,0.416419491,0.8068568527,0.7536587054,1.1721350651,0.8718046923,0.9441536344,0.8305761067,1.191748754,1.6013391677,1.3469100399,1.024928068,0.8181808014,-0.8701740702,-0.5568857166,0.6106109728,-0.0814372629,-0.7173548736,0.0358474362,1.9489419371,1.7914303106,0.4652435348,-0.1560861938,0.0569244966,-0.3400133061,-0.5427637506,0.3523467316,-0.059812657,0.872168643,0.2058009358,0.3105903767,1.2217144423,1.191748754,2.441639351,0.6199451935,0.9756559281,1.9453334515,2.0010384283,2.5270857655,1.9936114228,-0.9545479684,2.3815975879
Experiment 814 Participant 1,1,1.0802589691,0.5503896649,-0.4002829247,0.4181755131,1.9198448453,2.8187033705,1.0539705468,1.6463641044,1.2560458592,1.1234325672,-0.1799162281,0.7123895016,0.0856777368,0.4154401411,-0.7979914758,-1.8110292402,-1.9460355795,0.6004575243,0.638972371,1.5359380257,1.5171973557,2.3769049217,2.3323142621,0.0084748483,0.1125265134,-0.617427757,0.3570572788,2.207028753,0.4976801739,1.195925704,1.1853207362,0.3204304334,0.8598552627,1.191748754,0.8005487493,1.3064789635,2.2341168096,1.089082676,0.518812874,1.6651335085,1.8311803346,1.8879303887,0.4957544501,0.6939401737,-0.3348174672,-0.6038392841,-1.9360455132,-1.7582857996,0.1615510266,0.2364957731,-1.0349444544,-0.3353937137,-0.6893856867,1.1503862993,-0.9575153535,0.4626862397,0.1628385323,1.191748754,0.6109203897,-0.0534107298,0.1319947469,-1.2116163185,-1.2901660741,-2.1615285761,0.0086133684,-0.9767022466,-0.5136366941
Experiment 814 Participant 1,1,0.7831394789,0.409421224,-0.5088455431,-0.0465852254,0.0599809158,0.6182003842,0.4442729268,-0.5924372735,-0.1018493502,1.1234325672,-0.2468277791,-0.7942330678,-1.2466237947,-0.1802905785,0.4651254552,0.9275802168,0.5983684116,1.4730825695,0.3782198321,-1.0152646724,-0.0148424636,0.94311168,0.1870058742,0.0813695626,1.9008316048,0.8953445296,1.4732426477,-0.200997589,-1.9870097526,1.2291309065,0.6698262269,-0.4738128153,-0.8350296984,1.191748754,1.3807881738,0.8834694597,0.456125675,-0.1071220498,0.5883351214,0.1959332728,1.510108904,1.815991427,0.656983053,1.020800732,0.4902564961,0.8697200157,-0.2589423911,-0.1525063948,0.568066646,0.0158074844,0.0804395488,0.3581074456,-0.160105338,1.256564438,-0.3093714815,-0.8365765534,-0.895695878,1.191748754,-0.7724908651,-0.1326036254,-0.5808584471,-3.26779754,-1.8976789796,-1.1623988389,-1.5320606075,0.207982489,0.9637074501
Experiment 814 Participant 1,1,-0.5755550953,0.3785202552,-0.8279399718,-1.4513288364,-0.2956353659,0.7319469053,-0.4894701578,1.6358199189,0.2681426794,-0.7336077731,-0.2365455227,-0.5054517335,0.1121558771,-0.7232223718,-0.8638550859,0.2109284952,-0.1398115977,-1.9950897609,-0.1492573585,0.4665367714,-0.2058208247,-0.6685705497,-1.0125864148,0.1853238618,-0.6270270906,0.4984793838,0.6500802021,0.1677958111,-0.3126246729,-0.7858191352,0.1219778164,1.0298168901,-0.6760478026,-0.7445172598,-1.0088248596,-0.2206389789,1.2674614227,1.3071442743,0.5214740273,1.3717337207,0.9206157616,0.5129923028,0.7887521071,0.1862348377,-0.1184566201,0.465692138,0.892597318,0.4357407566,-0.1859820912,-0.3904693459,-0.7238325556,0.1731358983,1.2478118458,-0.4096608719,-0.5237812334,-0.1117406152,0.0352336924,-0.7445172598,0.0743574222,-0.1846553641,0.410531883,-1.0945009612,-1.0568426178,0.1244177089,0.2819968473,-2.485106717,0.4050538476
Experiment 814 Participant 1,1,-2.6487830199,-1.0779811736,-3.2815093762,-3.3527148126,-1.859415394,-1.8710904885,-3.403488082,-2.4097281544,-0.4727201064,-1.6632808059,-0.3346977288,-1.1360768931,-1.0636379847,0.8188199529,1.7848005076,0.5650797679,-0.147908504,-1.879999757,0.7549227265,1.0942393807,0.9149685538,-2.6683983615,-3.1443397527,-1.2508582863,-0.9657810801,0.7608259869,1.2352238178,1.6959678464,2.4125447439,-1.7194053443,0.9298504994,1.680151585,-0.4520233627,-1.7126502666,-1.3453538059,-1.0659258698,-0.7323130256,-2.175851517,2.0469971937,0.2001772627,0.0186419701,-0.2829985414,-0.0076933143,0.0002319057,-0.9892596874,0.2364876789,-0.4674305635,0.7517372124,0.1832899514,-0.0467257116,0.295805679,0.3791176618,0.6120269569,-1.6424831395,0.8695740144,2.0900298756,-0.0308696208,-1.7126502666,0.8643554598,3.4710364629,2.8701415289,3.2647651857,3.2708129796,2.8528966606,2.3885998764,0.8652782036,0.3858483135
Experiment 814 Participant 1,1,-0.3019216996,-0.5266327942,-0.6545150752,1.1373179926,-0.1343546442,-0.0340829812,0.1984663743,-2.5337824044,1.1465580856,-1.6615500835,0.0305859558,-1.4331737996,-0.3038195308,0.6411686608,-0.5668642759,0.8253150224,0.5623568742,0.2086003639,0.4923569283,-0.5567217004,0.1191403549,-2.8186636125,-1.1801811585,0.9849747294,0.0550058537,-0.1403828586,-1.0052922326,0.8747813519,0.3789725948,-1.7194053443,-0.5305093533,0.5994016589,-0.6217354345,-1.7126502666,-0.5129525467,-0.4844962909,-0.2761385098,-1.0129021376,0.7328872276,1.067229957,1.2290681162,0.7882376484,0.3211871453,0.7603677169,0.7076403816,1.163144503,1.2998891385,1.1310097342,-0.3158438536,-0.5929875614,-0.8299842882,-0.098429952,1.8854174646,-2.1279011869,-1.2820799362,0.4478769626,0.3430280497,-1.7126502666,0.1840150528,0.3826189035,0.2955006253,0.9357064669,0.1772990453,0.1336848287,1.0028178516,-0.767756539,1.5758866114
Experiment 814 Participant 1,1,-1.0026268593,-1.0608081523,0.6920536861,1.0573499592,0.8468576707,0.2995108721,0.9939370838,0.0069679175,-0.5385646252,-0.4900614989,1.043402271,1.5634576945,1.0842239749,-0.161168262,-0.1144816064,-0.0063347665,-0.3545366061,-0.7401489107,-0.4322110717,0.1219281591,0.145955678,-0.1961598145,-0.7268028471,-0.3721978723,-1.2479055455,0.467717822,0.1723932185,-1.989864065,0.0601421554,-0.5953084847,-0.4538618175,-0.4064986051,0.592274924,-0.4905807334,-0.2974977433,0.3716718329,0.8231174386,-0.0191330531,-0.4636867059,-0.6756668201,0.3070104488,0.7261323497,1.6061163983,1.8271454575,0.4084800688,0.8854676634,0.5076052391,-0.0072289316,-0.3951459056,-0.4264872911,0.0287753102,0.4190862182,-0.5939150723,-0.5051577814,-0.7900936878,-0.449455164,-0.672329192,-0.4905807334,-0.0590716736,-0.110666054,0.0288240158,0.0941337028,-0.0960531012,-0.5305881179,0.5534455204,-1.2079913999,1.4570463317
Experiment 814 Participant 1,1,0.1692234187,0.4540605094,-0.0901650842,-1.7061168539,-0.8092373399,-1.8411908886,-0.035771069,-0.6738487487,-0.6638170633,0.1608036784,0.437009733,-0.313399975,0.3200966388,1.1292510226,0.2713250127,1.0526803749,0.5103118609,-0.4280459547,-0.380454821,-0.507881613,-1.1925888037,0.3626218677,0.456845697,0.3394644005,0.1635582025,-0.408580437,-1.5483543601,0.2331894403,1.7227687933,0.4318878868,-1.2644740861,-1.7036981105,-0.5417465455,0.4616812406,0.4841956065,-0.0557172053,-0.3459757227,-0.3886966638,-0.5076809501,-0.6716026985,-0.1193701748,-0.855477435,1.0111044668,0.5920993919,1.3649342458,1.3933974034,-0.277511783,-0.750035396,-0.1892820677,0.0717223877,0.3763840002,1.2371978204,1.4401870792,0.4132873896,0.3239318581,0.5193511279,1.2329596855,0.4616812406,0.1979733971,0.4701704272,0.7336313072,0.4591197132,0.477719424,0.4920707532,0.2522694519,-0.961603051,-0.7286060896
