Subject,Label,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Stim,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,EEG-Cue,Pupil,Pupil,Pupil,Pupil,Pupil,Pupil,Pupil,HR,RT
Experiment 814 Participant 1,1,0.746444226,0.485324507,0.829125007,1.540145546,-2.329194376,1.020376888,-0.179768174,1.275368213,1.242827241,0.548229538,0.142501041,0.241023641,0.424444311,-0.728540222,0.490546181,-0.186483126,-0.000775046,-0.232416375,0.525846322,-0.057455454,0.251603386,0.18139873,-0.011032657,-0.891412315,-0.042815711,1.060325643,-0.12229113,-2.92745255,-1.407942568,2.727180975,0.97461294,2.394773089,-0.601414647,0.310461765,-1.799948697,4.094750247,1.624037122,-0.940380133,0.232535066,1.144878596,-2.543085086,2.484208853,2.17434743,0.019504312,0.284567423,-0.002860698,0.098768416,-0.617045263,-0.367971274,-0.20820962,0.005651722,0.493638216,-0.057671066,0.448718729,-0.147048059,0.201554593,0.538561349,0.189985088,-0.39467596,0.64028885,0.900252113,0.845796481,0.003207912,-1.937859972,-0.293664845,-0.936043797,0.980244415
Experiment 814 Participant 1,1,-0.239768738,1.45929958,2.199443365,2.370527732,2.565108865,0.316509407,-0.193708127,2.194756624,2.873494895,2.441237442,-1.688867628,-0.210524667,-1.862972366,0.049498136,-0.586010056,-1.241813794,0.978973478,-1.032838995,0.27370563,0.150206947,-0.03036103,-0.496398019,0.231669128,0.415288071,-1.676860716,0.238367564,-0.136235771,-0.086559268,-1.683405828,-0.645685749,-0.443689722,0.11038831,-0.379226273,1.318716574,0.550024582,-1.25634559,-0.288771981,0.525717914,0.641049105,1.004299742,1.153128177,1.060969433,0.495945082,-0.006606027,1.575229115,0.364983737,-0.135798847,-0.528967939,1.554906896,1.42963719,-0.717509389,0.783130548,-0.264176064,-0.157934424,-0.544656898,-0.601034889,0.876104729,-0.511040157,-0.226522423,0.203982877,-0.975082282,-1.220388679,-0.285273598,-1.252320159,-0.948624069,-1.739984261,1.04517791
Experiment 814 Participant 1,1,-1.195659737,-0.330900871,0.783974526,-0.779783189,1.4303578,-0.339441012,-0.143084968,1.184952291,1.43666234,1.913172041,-1.952125941,1.976442406,-0.830431364,2.152449426,-2.811310452,2.350327968,0.092693643,-3.29639684,-0.476129459,1.619608102,-2.994307748,0.225345455,-2.890929299,1.635298328,1.715407888,-0.03649121,1.635408447,0.663508976,0.140942695,-1.128151241,2.388909471,1.839217683,-1.013951667,0.568096614,-1.658100009,1.249710624,0.595536172,-0.423694429,-1.937748518,0.582875865,0.14808262,0.068972152,0.099194794,-0.579580569,0.055739142,-1.801029092,-1.223035549,0.532110587,-0.112220598,-0.68400555,-1.295629012,-0.670133356,0.232195216,-0.997251453,1.387017993,-2.871498586,1.131456741,0.188220271,2.441639351,0.619945193,0.975655928,1.945333452,2.001038428,2.527085765,1.993611423,-0.954547968,2.381597588
Experiment 814 Participant 1,1,-2.209968732,-2.276615509,0.487589654,0.08896719,0.572767208,0.039214226,-1.120789187,-1.865061098,-0.340410178,0.584950725,0.076299979,0.922564351,-0.823932157,-0.004627089,-0.29149445,0.617217561,0.363328292,0.352590278,0.196025233,1.283016947,0.364489896,2.489492215,2.438506144,0.56011864,1.79978066,2.406229073,-3.821320421,1.472480528,2.394785087,0.909749571,-3.207668603,0.396535615,2.598895547,-1.695718112,-3.777778043,0.587517133,2.776637902,2.73300374,1.078984701,1.018465633,0.472696592,-0.111259843,1.153893998,-0.00035234,-0.082985001,0.262330774,-1.016275029,-0.512532124,-1.270134349,0.520447596,0.723943836,-0.893877559,0.002163005,1.236108143,0.133191456,-0.940918676,0.654764773,-2.53382812,0.61092039,-0.05341073,0.131994747,-1.211616318,-1.290166074,-2.161528576,0.008613368,-0.976702247,-0.513636694
Experiment 814 Participant 1,1,-0.752250226,-0.326498188,0.072258133,-0.465667504,-0.227031617,0.423053872,-0.118368007,-0.553360014,-0.969266819,-0.649074006,0.119997657,-0.122697266,-0.607920174,-0.365368944,-0.374601516,2.042545627,1.421272307,1.022627102,0.76362762,1.255754149,1.812516002,1.182327245,1.053948082,0.23297165,0.143818375,-0.220315234,-0.106946889,-0.627209989,0.26013575,1.086275512,-0.911589573,-1.941695185,-2.697955681,-1.346125115,-1.554440372,1.14272226,-2.276206687,2.572601489,-1.1987522,-0.377883091,1.222017735,1.711693839,-0.844349661,0.042454622,-0.093988661,-0.084656708,0.188472958,1.102456777,0.711055928,-0.312564014,-0.863894222,1.511665518,1.486822505,0.395619973,1.501748587,-2.151628222,0.973194228,0.324158661,-0.772490865,-0.132603625,-0.580858447,-3.26779754,-1.89767898,-1.162398839,-1.532060607,0.207982489,0.96370745
Experiment 814 Participant 1,1,-0.024840154,0.342693464,0.05768188,-0.504311332,-0.374360168,-0.702115551,-0.156401762,0.500928114,-0.326960968,-0.142045781,0.464548192,-0.246299653,0.404199277,0.017744624,-0.881327513,0.490036658,-0.39050531,0.139005794,-0.898433075,-1.056924582,-0.111369538,-0.753317239,-0.396198481,-0.389323902,-0.873581421,-0.366602731,-0.15581459,0.957744213,0.143489452,1.050002185,-0.055091424,-0.304182446,0.180233701,-0.794643944,2.290911104,-0.57487444,2.384838127,-0.330927013,0.949020952,0.289897441,1.32983528,-0.496666732,-0.252579744,0.845852866,-0.819678328,0.177321577,-0.773553834,0.960340054,0.864131931,0.519460175,-0.545050134,0.24232605,-0.213370515,-0.795064555,-0.368879722,-0.336324241,0.012116005,-0.163687866,0.074357422,-0.184655364,0.410531883,-1.094500961,-1.056842618,0.124417709,0.281996847,-2.485106717,0.405053848
Experiment 814 Participant 1,1,-2.496870886,-3.692649174,-3.344320339,1.554725105,0.684086979,-2.824911809,6.28347682,1.497927884,0.897599107,1.041057891,1.345193151,-1.284566772,1.409234825,0.052734324,1.313964083,1.919894458,0.642692969,0.830283397,-0.771275034,-1.329299918,1.818057708,1.183028379,-1.604079257,0.195527676,1.00096438,0.985942592,-0.142966341,1.671240445,1.361263762,0.519169486,0.202474833,-0.086139298,0.489106449,-0.916367206,0.297889796,0.418998363,-0.298182914,-0.205111845,0.708708025,0.020605973,0.058499443,0.050079539,-0.182232074,-0.015787157,0.295448452,0.320769147,0.607704525,-0.760127347,0.844792021,1.702111392,1.426199318,1.598500282,-0.531903414,0.290403506,1.372121537,1.034836114,0.263677583,0.28963728,0.86435546,3.471036463,2.870141529,3.264765186,3.27081298,2.852896661,2.388599876,0.865278204,0.385848314
Experiment 814 Participant 1,1,-0.47468723,-1.139488819,0.8499731,1.140398825,0.58064161,-0.281416277,0.976842627,-0.256487239,-0.397814995,0.262847855,0.056157023,0.509751971,-0.223325092,-0.021289837,0.41970758,0.291500249,0.743244928,-0.097388732,-1.145143764,-1.102430816,-1.284168544,-0.771060195,-0.192404522,1.659541387,-1.55702057,-1.215464559,1.539380646,0.59681018,-0.128989818,0.121783608,0.003429761,0.110511848,0.330970098,1.072391072,0.051081538,0.060135309,-0.082933887,-0.494277132,-0.020982674,1.550594057,-0.762412852,1.252290206,-1.533915918,0.037951142,-0.007544872,0.475451807,-1.245148684,0.940154782,0.938716928,-0.408414017,-0.384270631,0.480689761,0.110186184,0.36166315,-0.546823248,0.698198419,-0.059427884,-0.215074021,0.184015053,0.382618904,0.295500625,0.935706467,0.177299045,0.133684829,1.002817852,-0.767756539,1.575886611
Experiment 814 Participant 1,1,0.65315411,-0.874740795,-0.280211291,-0.537906864,-0.322549427,0.263700192,-0.180642,0.09360149,-0.188167947,-0.128666187,0.553025502,0.478801813,0.030463854,0.02512378,0.399072255,-0.871778939,-0.362004271,-0.238877042,-0.026356955,-0.631182268,-0.116466077,-0.350221663,-0.315454579,-0.029567669,-0.575240834,0.44886568,-0.118803457,-0.245378739,-0.721058382,0.299950439,-0.388652305,-0.062848673,-0.160668334,0.490089084,0.282055523,-0.168366928,0.175466718,0.282277949,0.331114867,-0.176903196,-0.228865231,0.535537909,-0.432002281,0.387031616,-0.636286728,-0.231697482,0.17859821,0.37945671,0.453233094,0.205650555,0.65733779,-0.012403773,-0.691162836,-0.443100578,-0.833339461,0.371174315,-0.635397556,-0.228250193,-0.059071674,-0.110666054,0.028824016,0.094133703,-0.096053101,-0.530588118,0.55344552,-1.2079914,1.457046332
Experiment 814 Participant 1,1,1.03107516,-0.175956042,0.902693056,1.121249633,1.133246359,-0.740130938,2.727922554,1.007888359,0.728682249,-1.648147457,-2.172859888,0.334300455,1.125464176,0.051599447,-0.083515277,-0.555260702,0.368120402,-0.594691643,0.3914346,-0.460391781,-0.140177815,-0.542705567,-0.189766696,0.367515411,0.421094103,-0.544190968,0.034023876,0.357515932,-0.145702699,-0.132633874,-0.229227448,0.087785395,-0.161943973,-1.314698812,-0.372797284,-0.659062593,-0.02569055,0.190440619,0.076283516,-0.347227955,0.695394372,-0.00225708,0.130514694,0.014799953,-0.050588885,0.047480242,-0.049379512,0.165231912,-0.145395871,-0.244228812,-0.43580263,0.037750807,-0.477758291,-0.029296073,0.763637467,0.149733625,0.409964924,-0.022414096,0.197973397,0.470170427,0.733631307,0.459119713,0.477719424,0.492070753,0.252269452,-0.961603051,-0.72860609
